"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
269738 -nan -nan -nan -nan
269739 -nan -nan -nan -nan
269740 -nan -nan -nan -nan
269741 -nan -nan -nan -nan
269742 -nan -nan -nan -nan
269743 -nan -nan -nan -nan
269744 -nan -nan -nan -nan
269745 -nan -nan -nan -nan
269746 -nan -nan -nan -nan
269747 -nan -nan -nan -nan
269748 123.500000 123.500000 247.330000 247.330000
269889 -nan -nan -nan -nan
269890 -nan -nan -nan -nan
269891 -nan -nan -nan -nan
269892 -nan -nan -nan -nan
269893 -nan -nan -nan -nan
269894 -nan -nan -nan -nan
269895 -nan -nan -nan -nan
269896 -nan -nan -nan -nan
269897 -nan -nan -nan -nan
269898 -nan -nan -nan -nan
269899 -nan -nan -nan -nan
269900 -nan -nan -nan -nan
269901 -nan -nan -nan -nan
269902 123.500000 123.500000 247.330000 247.330000
269945 -nan -nan -nan -nan
269946 -nan -nan -nan -nan
269947 -nan -nan -nan -nan
269948 -nan -nan -nan -nan
269949 -nan -nan -nan -nan
269950 -nan -nan -nan -nan
269951 -nan -nan -nan -nan
269952 -nan -nan -nan -nan
269953 -nan -nan -nan -nan
269954 -nan -nan -nan -nan
269955 -nan -nan -nan -nan
269956 -nan -nan -nan -nan
269957 -nan -nan -nan -nan
269958 123.500000 123.500000 247.330000 247.330000
270000 184514906392861827403045217507998596208793737199139786381011282987621373792002344286797901235689356459286086791573284273093261576010467240825594394935575909263574081752655785543546336028015249604040623468419548627992818848487548039187525689520589502709110336689585648731727053426271543729239879594446684160.000000 123.500000 184514906392861827403045217507998596208793737199139786381011282987621373792002344286797901235689356459286086791573284273093261576010467240825594394935575909263574081752655785543546336028015249604040623468419548627992818848487548039187525689520589502709110336689585648731727053426271543729239879594446684160.000000 247.330000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 816073.546152 816073.546152 816121.056152 816121.056152
2 816072.146958 816072.146958 816119.656958 816119.656958
7 816071.990832 816071.990832 816119.500832 816119.500832
18 816071.934813 816071.934813 816119.444813 816119.444813
30 816071.405561 816071.405561 816118.915561 816118.915561
41 532342.498215 532342.498215 532390.008215 532390.008215
43 532342.074136 532342.074136 532389.584136 532389.584136
57 532341.679471 532341.679471 532389.189471 532389.189471
81 366474.223683 366474.223683 366521.733683 366521.733683
82 366473.363812 366473.363812 366520.873812 366520.873812
86 366473.253830 366473.253830 366520.763830 366520.763830
120 366473.178186 366473.178186 366520.688186 366520.688186
241 236459.446113 236459.446113 236506.956113 236506.956113
250 236459.262611 236459.262611 236506.772611 236506.772611
280 236459.240331 236459.240331 236506.750331 236506.750331
281 213903.723762 213903.723762 213951.233762 213951.233762
282 213903.319507 213903.319507 213950.829507 213950.829507
283 213903.307808 213903.307808 213950.817808 213950.817808
290 213903.172463 213903.172463 213950.682463 213950.682463
361 191432.193083 191432.193083 191479.703083 191479.703083
362 191431.950829 191431.950829 191479.460829 191479.460829
363 191431.822254 191431.822254 191479.332254 191479.332254
374 191431.744987 191431.744987 191479.254987 191479.254987
681 115127.017845 115127.017845 115174.527845 115174.527845
686 115126.962233 115126.962233 115174.472233 115174.472233
698 115126.928355 115126.928355 115174.438355 115174.438355
710 115126.845489 115126.845489 115174.355489 115174.355489
1121 70098.084720 70098.084720 70145.594720 70145.594720
1122 70097.994352 70097.994352 70145.504352 70145.504352
1123 70097.906562 70097.906562 70145.416562 70145.416562
